1|O Último do Tempo|Gabriel Ribeiro|1
2|As do Amor|Eduardo Lopes|1
3|Uma do Vento|João Barbosa|1
4|A Primeira do Vento|Eduardo Lopes|1
5|As da Floresta|Pedro Araújo|1
6|O Primeiro do Vento|Maria Nascimento|1
7|A Primeira da Lua|Pedro Barbosa|1
8|A Grande da Água|Antônio Nascimento|1
9|O Caminho da Água|Luiz Silva|1
10|A Última da Fortuna|Pedro Ferreira|1
11|A Jornada do Amor|Marcos Nascimento|1
12|O Pequeno do Amor|Rafael Santos|1
13|O Pequeno da Água|Paulo Souza|1
14|O Último das Estrelas|Carlos Lima|1
15|O Pequeno do Mar|Bruno Nascimento|1
16|A Jornada do Céu|Luis Barbosa|1
17|O Último da Floresta|Antônio Fernandes|1
18|O Mistério da Terra|Paulo Oliveira|1
19|A Grande da Chuva|Rafael Oliveira|1
20|A Jornada da Chuva|Gabriel Carvalho|1
21|O Primeiro da Floresta|Pedro Martins|1
22|A Última da Vida|Antônio Carvalho|1
23|A da Floresta|Lucas Rodrigues|1
24|A História do Sol|Eduardo Rodrigues|1
25|A História da Terra|José Fernandes|1
26|Um do Ar|Daniel Pereira|1
27|O Primeiro do Amor|Bruno Santos|1
28|Os do Sol|Marcelo Oliveira|1
29|A Jornada da Montanha|Pedro Rodrigues|1
30|O Caminho da Lua|Bruno Souza|1
31|A Jornada da Floresta|Gabriel Pereira|1
32|A Jornada do Deserto|Lucas Araújo|1
33|O Segredo do Tempo|Rafael Lopes|1
34|O Destino do Vento|Daniel Almeida|1
35|Os da Lua|Eduardo Nascimento|1
36|O Caminho do Mar|Lucas Araújo|1
37|Um do Tempo|Eduardo Pereira|1
38|A Última do Céu|Eduardo Ferreira|1
39|O Pequeno da Lua|Ana Costa|1
40|A Grande da Floresta|Ana Ribeiro|1
41|A Pequena da Chuva|Pedro Pereira|1
42|O Primeiro do Amor|Antônio Silva|1
43|O Destino da Vida|Ana Rodrigues|1
44|Um da Montanha|José Souza|1
45|Uma da Chuva|Paulo Oliveira|1
46|Uma do Ar|José Nascimento|1
47|O Mistério da Água|Francisco Costa|1
48|O Grande do Vento|Pedro Nascimento|1
49|O Mistério da Chuva|Pedro Mendes|1
50|O Caminho da Lua|Lucas Mendes|1
51|O Caminho da Chuva|Rafael Nascimento|1
52|A História do Ar|Daniel Lopes|1
53|A História do Fogo|Francisco Silva|1
54|A Grande do Sol|Pedro Santos|1
55|Um do Mar|Pedro Santos|1
56|O Grande do Céu|Carlos Fernandes|1
57|O Último do Amor|Maria Lopes|1
58|A do Amor|Bruno Araújo|1
59|Uma da Chuva|Paulo Lopes|1
60|A Jornada da Montanha|Daniel Lopes|1
61|As da Montanha|Pedro Silva|1
62|O Pequeno do Fogo|Marcos Nascimento|1
63|Uma do Mar|Rafael Oliveira|1
64|A Última da Terra|Marcelo Fernandes|1
65|A Última do Deserto|Marcos Martins|1
66|A Primeira da Vida|Bruno Santos|1
67|A Pequena do Mar|Luiz Almeida|1
68|Um do Deserto|Luiz Souza|1
69|O Destino do Amor|Luiz Santos|1
70|As da Lua|João Barbosa|1
71|A Pequena do Amor|Ana Santos|1
72|O Segredo do Céu|Daniel Lima|1
73|A Jornada do Céu|José Souza|1
74|A História da Terra|Bruno Mendes|1
75|Uma da Esperança|Antônio Oliveira|1
76|Os do Amor|Bruno Ribeiro|1
77|O Caminho da Chuva|Ana Araújo|1
78|O da Água|Luiz Pereira|1
79|O Pequeno do Sol|Carlos Souza|1
80|O do Amor|Luiz Oliveira|1
81|A Pequena da Esperança|João Rodrigues|1
82|O Mistério do Destino|Felipe Martins|1
83|A Jornada da Chuva|Carlos Gomes|1
84|Um da Chuva|Marcelo Nascimento|1
85|O Caminho do Vento|Luiz Rodrigues|1
86|Um da Lua|Marcelo Oliveira|1
87|O Pequeno da Fortuna|Maria Mendes|1
88|O Pequeno do Ar|José Rodrigues|1
89|O Último da Floresta|Felipe Barbosa|1
90|Os da Esperança|Francisco Almeida|1
91|O Pequeno do Destino|Pedro Lima|1
92|O Mistério da Água|José Lima|1
93|O Segredo do Amor|Francisco Costa|1
94|A Jornada da Montanha|Maria Barbosa|1
95|A das Estrelas|Ana Fernandes|1
96|Um da Água|Marcelo Barbosa|1
97|O Mistério da Lua|Eduardo Martins|1
98|Uma do Amor|José Almeida|1
99|O Caminho do Ar|Maria Lima|1
100|O Mistério da Chuva|Luis Lopes|1
101|A da Floresta|Marcelo Costa|1
102|O do Mar|Paulo Souza|1
103|A Jornada da Terra|Marcelo Mendes|1
104|O Mistério do Sol|Marcelo Ribeiro|1
105|A História do Vento|Marcelo Martins|1
106|A História do Destino|Bruno Rodrigues|1
107|A da Lua|Bruno Araújo|1
108|Um da Terra|Pedro Nascimento|1
109|O Mistério do Tempo|Lucas Mendes|1
110|A do Vento|Felipe Lima|1
111|O Pequeno da Floresta|Ana Ferreira|1
112|O da Chuva|Felipe Pereira|1
113|A Grande da Floresta|Ana Souza|1
114|A Pequena do Amor|Ana Fernandes|1
115|O Segredo das Estrelas|Daniel Rodrigues|1
116|As da Água|Felipe Souza|1
117|Os do Ar|Gabriel Ribeiro|1
118|A Última da Fortuna|Antônio Ferreira|1
119|Os do Céu|Bruno Nascimento|1
120|A Primeira da Terra|Marcelo Mendes|1
121|Uma da Terra|Luiz Silva|1
122|A Jornada do Destino|Gabriel Costa|1
123|A Última do Ar|Daniel Santos|1
124|O Mistério das Estrelas|Gabriel Carvalho|1
125|O Caminho da Floresta|Ana Mendes|1
126|A do Deserto|Luis Araújo|1
127|O Grande das Estrelas|Marcos Lopes|1
128|As do Fogo|Ana Martins|1
129|A Grande das Estrelas|Marcelo Carvalho|1
130|Um da Montanha|José Oliveira|1
131|A Grande do Destino|Luiz Carvalho|1
132|O Destino da Montanha|Paulo Ferreira|1
133|Os do Fogo|Pedro Martins|1
134|A Primeira da Fortuna|Marcos Ferreira|1
135|O do Amor|Eduardo Martins|1
136|O Destino da Lua|Antônio Fernandes|1
137|Uma do Amor|Daniel Ribeiro|1
138|A Primeira da Fortuna|Gabriel Ferreira|1
139|O Pequeno da Chuva|Paulo Souza|1
140|O Grande do Deserto|Felipe Gomes|1
141|O Pequeno do Amor|Eduardo Ferreira|1
142|A Jornada do Tempo|Maria Almeida|1
143|O Último do Destino|Luiz Pereira|1
144|O da Água|Lucas Gomes|1
145|O Último da Água|Paulo Barbosa|1
146|O Último do Deserto|Paulo Carvalho|1
147|O Primeiro do Tempo|Gabriel Fernandes|1
148|Uma do Céu|Luiz Araújo|1
149|A do Tempo|Marcelo Souza|1
150|O do Tempo|Marcos Carvalho|1
151|O Caminho do Céu|Rafael Silva|1
152|A Grande da Vida|Ana Ferreira|1
